Accession,Release_Date,Species,Nuc_Completeness,Protein,Geo_Location,USA,Host,Isolation_Source,Collection_Date
QPF50307,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF3a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50308,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,envelope protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50309,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,membrane glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50310,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF6 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50311,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50312,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7b protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50313,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF8 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50314,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,nucleocapsid phosphoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50315,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF10 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50316,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1ab polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50317,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1a polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50318,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,surface glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50319,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF3a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50320,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,envelope protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50321,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,membrane glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50322,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF6 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50323,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50324,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7b protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50325,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF8 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50326,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,nucleocapsid phosphoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50327,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF10 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50328,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50329,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50330,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50331,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50332,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50333,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50334,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50335,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50336,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50337,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50338,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50339,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50340,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1ab polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50341,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1a polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50342,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,surface glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50343,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF3a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50344,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,envelope protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50345,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,membrane glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50346,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF6 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50347,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50348,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7b protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50349,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF8 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50350,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,nucleocapsid phosphoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50351,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF10 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50352,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1ab polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50353,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1a polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50354,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,surface glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50355,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF3a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50356,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,envelope protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50357,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,membrane glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50358,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF6 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50359,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50360,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7b protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50361,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF8 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50362,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,nucleocapsid phosphoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50363,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF10 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50364,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1ab polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50365,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1a polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50366,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,surface glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50367,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF3a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50368,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,envelope protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50369,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,membrane glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50370,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF6 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50371,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50372,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7b protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50373,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF8 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50374,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,nucleocapsid phosphoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50375,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF10 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-06
QPF50376,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50377,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50378,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50379,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50380,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50381,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50382,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50383,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50384,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50385,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50386,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50387,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50388,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1ab polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50389,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1a polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50390,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,surface glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50391,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF3a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50392,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,envelope protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50393,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,membrane glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50394,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF6 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50395,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50396,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7b protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50397,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF8 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50398,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,nucleocapsid phosphoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50399,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF10 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50400,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50401,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50402,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50403,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50404,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50405,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50406,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50407,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50408,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50409,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50410,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50411,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50412,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50413,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50414,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50415,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50416,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50417,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50418,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50419,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50420,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50421,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50422,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50423,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50424,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1ab polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50425,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1a polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50426,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,surface glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50427,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF3a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50428,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,envelope protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50429,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,membrane glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50430,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF6 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50431,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50432,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7b protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50433,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF8 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50434,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,nucleocapsid phosphoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50435,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF10 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50436,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1ab polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50437,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1a polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50438,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,surface glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50439,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF3a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50440,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,envelope protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50441,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,membrane glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50442,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF6 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50443,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50444,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7b protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50445,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF8 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50446,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,nucleocapsid phosphoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50447,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF10 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50448,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1ab polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50449,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1a polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50450,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,surface glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50451,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF3a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50452,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,envelope protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50453,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,membrane glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50454,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF6 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50455,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50456,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7b protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50457,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF8 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50458,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,nucleocapsid phosphoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50459,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF10 protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-07-14
QPF50460,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-08-19
QPF50461,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-08-19
QPF50462,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-08-19
QPF50463,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-08-19
QPF50464,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,"USA: CA, Santa Clara County",CA,Homo sapiens,,2020-08-19
